freq_hz,fs,float_err,fixed_err,difference
2,100,0.00635164,0.0063535,1.85995e-06
10,100,0.0284627,0.0284618,9.05728e-07
25,100,0.0666679,0.0666792,1.13003e-05
33,100,0.150135,0.150135,4.32174e-07
49,100,0.476139,0.476142,2.99297e-06
